2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05793,FTECH7,13280,1
2007-01-25,09:00:02,PL0GPWF05793,FTECH7,13280,1
2007-01-25,09:00:04,PL0GPWO14805,OW20O7290,104.9,1
2007-01-25,09:00:04,PL0GPWO14805,OW20O7290,104.9,10
2007-01-25,09:00:04,PL0GPWO14805,OW20O7290,104.9,10
2007-01-25,09:00:04,PL0GPWO14847,OW20O7330,700,1
2007-01-25,09:00:06,PL0GPWF05785,FW20H7,34690,1
2007-01-25,09:00:07,PL0GPWF05785,FW20H7,34710,5
2007-01-25,09:00:07,PL0GPWF05785,FW20H7,34690,1
2007-01-25,09:00:08,PL0GPWF05785,FW20H7,34720,3
2007-01-25,09:00:08,PL0GPWF05785,FW20H7,34720,1
2007-01-25,09:00:09,PL0GPWF05785,FW20H7,34710,10
2007-01-25,09:00:10,PL0GPWF05785,FW20H7,34730,1
2007-01-25,09:00:10,PL0GPWF05785,FW20H7,34720,2
2007-01-25,09:00:10,PL0GPWF05785,FW20H7,34720,1
2007-01-25,09:00:10,PL0GPWF05785,FW20H7,34720,1
2007-01-25,09:00:10,PL0GPWF05785,FW20H7,34690,5
2007-01-25,09:00:10,PL0GPWF05785,FW20H7,34710,5
2007-01-25,09:00:10,PL0GPWF05785,FW20H7,34700,10
2007-01-25,09:00:10,PL0GPWF05785,FW20H7,34720,1
2007-01-25,09:00:10,PL0GPWF05785,FW20H7,34720,1
2007-01-25,09:00:10,PL0GPWF05785,FW20H7,34720,3
2007-01-25,09:00:10,PL0GPWF05785,FW20H7,34720,1
2007-01-25,09:00:10,PL0GPWF05785,FW20H7,34720,2
2007-01-25,09:00:11,PL0GPWF05785,FW20H7,34710,1
2007-01-25,09:00:11,PL0GPWF05785,FW20H7,34730,5
2007-01-25,09:00:14,PL0GPWF05785,FW20H7,34730,1
2007-01-25,09:00:18,PL0GPWF05785,FW20H7,34720,5
2007-01-25,09:00:18,PL0GPWF05785,FW20H7,34730,1
2007-01-25,09:00:19,PL0GPWF05785,FW20H7,34730,2
2007-01-25,09:00:19,PL0GPWF05785,FW20H7,34730,24
2007-01-25,09:00:19,PL0GPWF05785,FW20H7,34720,9
2007-01-25,09:00:19,PL0GPWF05785,FW20H7,34720,3
2007-01-25,09:00:20,PL0GPWF05785,FW20H7,34730,4
2007-01-25,09:00:21,PL0GPWF05785,FW20H7,34730,2
2007-01-25,09:00:21,PL0GPWF05785,FW20H7,34730,1
2007-01-25,09:00:22,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:22,PL0GPWF05785,FW20H7,34720,1
2007-01-25,09:00:23,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:23,PL0GPWF05785,FW20H7,34710,10
2007-01-25,09:00:25,PL0GPWF05785,FW20H7,34730,5
2007-01-25,09:00:27,PL0GPWF05785,FW20H7,34710,1
2007-01-25,09:00:27,PL0GPWF05785,FW20H7,34720,1
2007-01-25,09:00:27,PL0GPWF05785,FW20H7,34730,4
2007-01-25,09:00:28,PL0GPWF06148,FW20U7,34460,1
2007-01-25,09:00:29,PL0GPWF05785,FW20H7,34700,15
2007-01-25,09:00:34,PL0GPWF05785,FW20H7,34740,1
2007-01-25,09:00:34,PL0GPWF05785,FW20H7,34740,4
2007-01-25,09:00:34,PL0GPWF05785,FW20H7,34730,1
2007-01-25,09:00:34,PL0GPWF05785,FW20H7,34730,1
2007-01-25,09:00:34,PL0GPWF05785,FW20H7,34720,1
2007-01-25,09:00:34,PL0GPWF05785,FW20H7,34730,1
2007-01-25,09:00:34,PL0GPWF05785,FW20H7,34740,1
2007-01-25,09:00:34,PL0GPWF05785,FW20H7,34740,1
2007-01-25,09:00:35,PL0GPWF05785,FW20H7,34710,1
2007-01-25,09:00:36,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:36,PL0GPWF05785,FW20H7,34700,83
2007-01-25,09:00:36,PL0GPWF05785,FW20H7,34710,9
